ER_1000_0.25_35.al,957,1.385728,955,10.817312,978,2.291232
ER_1000_0.25_36.al,957,1.366976,956,11.304352,975,2.237056
ER_1000_0.25_37.al,957,1.357184,954,11.305536,976,2.261920
ER_1000_0.25_38.al,955,1.356832,955,12.297152,973,2.286464
ER_1000_0.25_39.al,960,1.355616,957,11.181056,975,2.241728
ER_1000_0.25_3.al,960,1.377568,953,11.894176,976,2.288064
ER_1000_0.25_40.al,959,1.373888,956,11.886688,973,2.300032
ER_1000_0.25_41.al,957,1.373696,957,12.647680,975,2.274816
ER_1000_0.25_42.al,958,1.369920,955,11.427200,975,2.288384
ER_1000_0.25_43.al,957,1.360576,953,10.909120,974,2.272832
ER_1000_0.25_44.al,955,1.396800,954,10.735872,975,2.309248
ER_1000_0.25_45.al,956,1.799232,957,11.981696,975,2.296576
ER_1000_0.25_46.al,956,1.369280,953,11.312512,975,2.258944
ER_1000_0.25_47.al,960,1.361088,957,11.229952,977,2.269376
ER_1000_0.25_48.al,955,1.397312,955,11.687936,973,2.287808
ER_1000_0.25_49.al,959,1.347200,955,12.708224,974,2.303616
ER_1000_0.25_4.al,957,1.364096,956,11.240576,975,2.266432
ER_1000_0.25_50.al,958,1.355392,957,11.419712,977,2.271232
ER_1000_0.25_51.al,957,1.347840,952,11.332864,974,2.263680
ER_1000_0.25_52.al,953,1.405056,956,11.939520,975,2.269696
ER_1000_0.25_53.al,956,1.369088,955,11.340992,976,2.278336
ER_1000_0.25_54.al,957,1.378368,956,11.311872,978,2.314624
ER_1000_0.25_55.al,959,1.356992,956,10.829056,975,2.297280
ER_1000_0.25_56.al,959,1.361792,953,10.904576,977,2.266112
ER_1000_0.25_57.al,957,1.364480,951,11.260480,975,2.338112
ER_1000_0.25_58.al,956,1.396480,957,10.935232,975,2.223360
ER_1000_0.25_59.al,958,1.383360,955,10.990976,976,2.300096
ER_1000_0.25_5.al,958,1.389632,956,10.814464,973,2.297600
ER_1000_0.25_60.al,959,1.373504,955,12.104000,974,2.290176
ER_1000_0.25_61.al,959,1.398400,954,12.515904,974,2.276736
ER_1000_0.25_62.al,957,1.394432,957,10.979200,977,2.273024
ER_1000_0.25_63.al,959,1.345984,953,11.379648,972,2.300928
ER_1000_0.25_64.al,957,1.390208,957,11.003328,973,2.274560
ER_1000_0.25_65.al,959,1.354368,955,11.185472,975,2.282176
